brsr_uri,gri_uri,brsr_label,gri_label,relationship,confidence_score,similarity_score,evidence_summary,llm_verification,llm_explanation,ontology_path,brsr_id,gri_id,lexical_score,structural_score,property_score,reasoning_score,overall_confidence,skos_relation,reasoning,verification
http://example.org/ontology/rso#Disclosure_Q24_7549452836008929946,http://example.org/ontology/rso#Requirement_-7075047420137423473,24. Overview of the entity’s material responsible business conduct issues,GUIDANCE,NotMapped,22.948572917871697,0.2294857291787169,"{'label_similarity': 0.0, 'definition_similarity': 0.0, 'embedding_similarity': 0.6940433382987976, 'unit_compatibility': 0.5, 'datatype_compatibility': 0.0, 'hierarchy_similarity': 0.24308970099667776, 'relationship_similarity': 0.0, 'topic_similarity': 0.0, 'context_similarity': 0.0}",Disagree,LLM Verification skipped or failed,http://www.w3.org/2004/02/skos/core#relatedMatch,Disclosure_Q24_7549452836008929946,Requirement_-7075047420137423473,0.0,0.2430897009966777,0.0,0.2294857291787169,22.948572917871697,relatedMatch,['Evaluated full cross-product matrix.'],"{'verification': 'Disagree', 'confidence': 'Low', 'explanation': 'LLM Verification skipped or failed'}"
http://example.org/ontology/rso#Disclosure_Q24_7549452836008929946,http://example.org/ontology/rso#Requirement_-8551459990262974,24. Overview of the entity’s material responsible business conduct issues,GUIDANCE,NotMapped,22.69290117829345,0.2269290117829345,"{'label_similarity': 0.0, 'definition_similarity': 0.0, 'embedding_similarity': 0.6684761643409729, 'unit_compatibility': 0.5, 'datatype_compatibility': 0.0, 'hierarchy_similarity': 0.24308970099667776, 'relationship_similarity': 0.0, 'topic_similarity': 0.0, 'context_similarity': 0.0}",Disagree,LLM Verification skipped or failed,http://www.w3.org/2004/02/skos/core#relatedMatch,Disclosure_Q24_7549452836008929946,Requirement_-8551459990262974,0.0,0.2430897009966777,0.0,0.2269290117829345,22.69290117829345,relatedMatch,['Evaluated full cross-product matrix.'],"{'verification': 'Disagree', 'confidence': 'Low', 'explanation': 'LLM Verification skipped or failed'}"
http://example.org/ontology/rso#Disclosure_Q19_-7385032484066083245,http://example.org/ontology/rso#Requirement_-729329001945373785,19. Participation/Inclusion/Representation of women,GUIDANCE,NotMapped,22.531639890507257,0.2253163989050725,"{'label_similarity': 0.016101694915254237, 'definition_similarity': 0.0, 'embedding_similarity': 0.5879432559013367, 'unit_compatibility': 0.5, 'datatype_compatibility': 0.0, 'hierarchy_similarity': 0.24308970099667776, 'relationship_similarity': 0.0, 'topic_similarity': 0.0, 'context_similarity': 0.0}",Disagree,LLM Verification skipped or failed,http://www.w3.org/2004/02/skos/core#relatedMatch,Disclosure_Q19_-7385032484066083245,Requirement_-729329001945373785,0.0161016949152542,0.2430897009966777,0.0,0.2253163989050725,22.531639890507257,relatedMatch,['Evaluated full cross-product matrix.'],"{'verification': 'Disagree', 'confidence': 'Low', 'explanation': 'LLM Verification skipped or failed'}"
http://example.org/ontology/rso#Disclosure_Q17_-4881588773716442445,http://example.org/ontology/rso#Requirement_-7003268102682244217,17. Markets served by the entity: a. Number of locations,REQUIREMENTS,NotMapped,22.35869531944577,0.2235869531944577,"{'label_similarity': 0.027941176470588233, 'definition_similarity': 0.0, 'embedding_similarity': 0.5232908725738525, 'unit_compatibility': 0.5, 'datatype_compatibility': 0.0, 'hierarchy_similarity': 0.24308970099667776, 'relationship_similarity': 0.0, 'topic_similarity': 0.0, 'context_similarity': 0.0}",Disagree,LLM Verification skipped or failed,http://www.w3.org/2004/02/skos/core#relatedMatch,Disclosure_Q17_-4881588773716442445,Requirement_-7003268102682244217,0.0279411764705882,0.2430897009966777,0.0,0.2235869531944577,22.35869531944577,relatedMatch,['Evaluated full cross-product matrix.'],"{'verification': 'Disagree', 'confidence': 'Low', 'explanation': 'LLM Verification skipped or failed'}"
http://example.org/ontology/rso#Disclosure_Q19_-7385032484066083245,http://example.org/ontology/rso#Requirement_5491738361298871146,19. Participation/Inclusion/Representation of women,REQUIREMENTS,NotMapped,22.29624187596041,0.222962418759604,"{'label_similarity': 0.030158730158730156, 'definition_similarity': 0.0, 'embedding_similarity': 0.5081753134727478, 'unit_compatibility': 0.5, 'datatype_compatibility': 0.0, 'hierarchy_similarity': 0.24308970099667776, 'relationship_similarity': 0.0, 'topic_similarity': 0.0, 'context_similarity': 0.0}",Disagree,LLM Verification skipped or failed,http://www.w3.org/2004/02/skos/core#relatedMatch,Disclosure_Q19_-7385032484066083245,Requirement_5491738361298871146,0.0301587301587301,0.2430897009966777,0.0,0.222962418759604,22.29624187596041,relatedMatch,['Evaluated full cross-product matrix.'],"{'verification': 'Disagree', 'confidence': 'Low', 'explanation': 'LLM Verification skipped or failed'}"
http://example.org/ontology/rso#Disclosure_Q17_-4881588773716442445,http://example.org/ontology/rso#Requirement_8915550396474311172,17. Markets served by the entity: a. Number of locations,REQUIREMENTS,NotMapped,22.248086384089632,0.2224808638408963,"{'label_similarity': 0.027941176470588233, 'definition_similarity': 0.0, 'embedding_similarity': 0.5122299790382385, 'unit_compatibility': 0.5, 'datatype_compatibility': 0.0, 'hierarchy_similarity': 0.24308970099667776, 'relationship_similarity': 0.0, 'topic_similarity': 0.0, 'context_similarity': 0.0}",Disagree,LLM Verification skipped or failed,http://www.w3.org/2004/02/skos/core#relatedMatch,Disclosure_Q17_-4881588773716442445,Requirement_8915550396474311172,0.0279411764705882,0.2430897009966777,0.0,0.2224808638408963,22.248086384089632,relatedMatch,['Evaluated full cross-product matrix.'],"{'verification': 'Disagree', 'confidence': 'Low', 'explanation': 'LLM Verification skipped or failed'}"
http://example.org/ontology/rso#Disclosure_Q24_7549452836008929946,http://example.org/ontology/rso#Requirement_8915550396474311172,24. Overview of the entity’s material responsible business conduct issues,REQUIREMENTS,NotMapped,22.14384643643401,0.2214384643643401,"{'label_similarity': 0.0, 'definition_similarity': 0.0, 'embedding_similarity': 0.6135706901550293, 'unit_compatibility': 0.5, 'datatype_compatibility': 0.0, 'hierarchy_similarity': 0.24308970099667776, 'relationship_similarity': 0.0, 'topic_similarity': 0.0, 'context_similarity': 0.0}",Disagree,LLM Verification skipped or failed,http://www.w3.org/2004/02/skos/core#relatedMatch,Disclosure_Q24_7549452836008929946,Requirement_8915550396474311172,0.0,0.2430897009966777,0.0,0.2214384643643401,22.14384643643401,relatedMatch,['Evaluated full cross-product matrix.'],"{'verification': 'Disagree', 'confidence': 'Low', 'explanation': 'LLM Verification skipped or failed'}"
http://example.org/ontology/rso#Disclosure_Q24_7549452836008929946,http://example.org/ontology/rso#Requirement_-7677260389787692770,24. Overview of the entity’s material responsible business conduct issues,RECOMMENDATIONS,NotMapped,22.008032896755616,0.2200803289675561,"{'label_similarity': 0.010795454545454546, 'definition_similarity': 0.0, 'embedding_similarity': 0.5568075180053711, 'unit_compatibility': 0.5, 'datatype_compatibility': 0.0, 'hierarchy_similarity': 0.24308970099667776, 'relationship_similarity': 0.0, 'topic_similarity': 0.0, 'context_similarity': 0.0}",Disagree,LLM Verification skipped or failed,http://www.w3.org/2004/02/skos/core#relatedMatch,Disclosure_Q24_7549452836008929946,Requirement_-7677260389787692770,0.0107954545454545,0.2430897009966777,0.0,0.2200803289675561,22.008032896755616,relatedMatch,['Evaluated full cross-product matrix.'],"{'verification': 'Disagree', 'confidence': 'Low', 'explanation': 'LLM Verification skipped or failed'}"
http://example.org/ontology/rso#Disclosure_Q24_7549452836008929946,http://example.org/ontology/rso#Requirement_-5465632840704443688,24. Overview of the entity’s material responsible business conduct issues,RECOMMENDATIONS,NotMapped,21.963465907810605,0.219634659078106,"{'label_similarity': 0.010795454545454546, 'definition_similarity': 0.0, 'embedding_similarity': 0.5523508191108704, 'unit_compatibility': 0.5, 'datatype_compatibility': 0.0, 'hierarchy_similarity': 0.24308970099667776, 'relationship_similarity': 0.0, 'topic_similarity': 0.0, 'context_similarity': 0.0}",Disagree,LLM Verification skipped or failed,http://www.w3.org/2004/02/skos/core#relatedMatch,Disclosure_Q24_7549452836008929946,Requirement_-5465632840704443688,0.0107954545454545,0.2430897009966777,0.0,0.219634659078106,21.963465907810605,relatedMatch,['Evaluated full cross-product matrix.'],"{'verification': 'Disagree', 'confidence': 'Low', 'explanation': 'LLM Verification skipped or failed'}"
http://example.org/ontology/rso#Disclosure_Q17_-4881588773716442445,http://example.org/ontology/rso#Requirement_-5233804234645426650,17. Markets served by the entity: a. Number of locations,REQUIREMENTS,NotMapped,21.93120842293088,0.2193120842293088,"{'label_similarity': 0.027941176470588233, 'definition_similarity': 0.0, 'embedding_similarity': 0.4805421829223633, 'unit_compatibility': 0.5, 'datatype_compatibility': 0.0, 'hierarchy_similarity': 0.24308970099667776, 'relationship_similarity': 0.0, 'topic_similarity': 0.0, 'context_similarity': 0.0}",Disagree,LLM Verification skipped or failed,http://www.w3.org/2004/02/skos/core#relatedMatch,Disclosure_Q17_-4881588773716442445,Requirement_-5233804234645426650,0.0279411764705882,0.2430897009966777,0.0,0.2193120842293088,21.93120842293088,relatedMatch,['Evaluated full cross-product matrix.'],"{'verification': 'Disagree', 'confidence': 'Low', 'explanation': 'LLM Verification skipped or failed'}"
